[2019-05-07 20:50:32,666 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="d9ce4078e1877956d097ab19c8c0a469")>]
[2019-05-07 20:50:34,674 loginit.py info line:41 INFO:] [测试URL：http://www.baidu.com]
[2019-05-07 20:50:34,782 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 20:50:37,786 loginit.py info line:41 INFO:] [这是index的test1]
[2019-05-07 20:50:37,787 loginit.py info line:41 INFO:] [执行完成退出[tearDown]]
[2019-05-07 20:50:39,494 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="e27d0010edc0c58ccf02491ecae44885")>]
[2019-05-07 20:50:41,451 loginit.py info line:41 INFO:] [测试URL：http://www.baidu.com]
[2019-05-07 20:50:41,560 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 20:50:44,565 loginit.py info line:41 INFO:] [执行test_baidu测试用例]
[2019-05-07 20:50:44,566 loginit.py info line:41 INFO:] [初始化定位函数]
[2019-05-07 20:50:44,566 loginit.py info line:41 INFO:] [初始化Element]
[2019-05-07 20:50:44,639 loginit.py info line:41 INFO:] [发现元素：div[id=u1] a[class=lb]]
[2019-05-07 20:50:44,660 loginit.py info line:41 INFO:] [首页登陆按钮定位成功]
[2019-05-07 20:50:44,779 loginit.py info line:41 INFO:] [首页登陆按钮点击成功]
[2019-05-07 20:50:46,863 loginit.py info line:41 INFO:] [发现元素：p.tang-pass-footerBarULogin]
[2019-05-07 20:50:46,884 loginit.py info line:41 INFO:] [定位用户名登陆按钮成功]
[2019-05-07 20:50:47,041 loginit.py info line:41 INFO:] [点击用户名登陆成功]
[2019-05-07 20:50:48,114 loginit.py info line:41 INFO:] [发现元素：TANGRAM__PSP_10__userName]
[2019-05-07 20:50:48,135 loginit.py info line:41 INFO:] [定位用户名输入框成功]
[2019-05-07 20:50:48,250 loginit.py info line:41 INFO:] [点击用户名输入框成功]
[2019-05-07 20:50:48,250 loginit.py info line:41 INFO:] [输入用户名:完成]
[2019-05-07 20:50:49,332 loginit.py info line:41 INFO:] [发现元素：TANGRAM__PSP_10__password]
